ID_sp_then,gamma_sp,keep_idx,m200b_sp_now,m200b_sp_then
2388964,3.238410657544287,105,11330669420024.393,2405587985468.2593
2380238,0.7596429491367006,106,11208448286275.445,7792377234792.66
2394507,0.6907638765594863,107,11088411828233.729,7967257698596.021
2389036,1.2500254448457435,108,11089464498700.404,6097047078732.305
2380322,1.6575183763059225,109,11155567037531.523,5046751749836.001
2390580,0.6314396665016676,110,11000208769797.635,8131482124556.763
2377835,0.37697141774445286,111,10889883834739.293,9092384827484.148
2380306,3.1405517153568963,112,10779330583361.906,2398254976759.3037
2382805,2.479744740894536,113,13399211119938.877,4089944129152.152
2395781,1.1032495340659718,114,10380901256292.746,6122774492333.545
2381772,0.4844960281347168,115,10320181156708.625,8184557310792.178
2380347,1.9913209136090695,116,10031218223395.125,3868122856433.5327
2385997,0.5288966899016023,117,9812124432654.953,7618039030887.05
2379155,0.34282430292014576,118,9811642357744.43,8327085381948.876
2388764,1.1922232169865674,119,10533701149839.01,5953918999771.762
2389079,0.6347342560160512,120,9316709498168.285,6876170363946.678
2385707,0.6659073990267961,121,9909284410347.547,7205227488522.58
2381799,0.7806599424344453,122,8964473337866.883,6169945449051.932
2380340,2.049278797012992,123,8754908966527.094,3283620137869.745
2386035,0.9343927719151477,124,8737276397029.248,5587049789299.142
2384195,1.1502696209458443,125,8656531152901.003,4992119606939.598
2390561,0.6769233832206831,126,8628162037137.32,6240713708555.551
2377888,0.25502077334362067,127,8509359306201.133,7531756208950.908
2395741,1.489135182078217,128,8398819683127.352,4118446144171.492
2386829,0.8158981961220408,129,8356731051835.428,5655479768490.084
2378971,0.5333094555728468,130,9147621720004.176,7087143794776.83
2381810,0.733221944675956,131,8203253215653.148,5775660195067.863
2380177,3.1107483680598644,132,8135022890142.056,1835930894737.118
2391973,0.947954128028375,133,7983891676283.651,5072273530027.245
2386018,1.4922820087342141,134,7953551270745.542,3894235560909.2163
2380276,2.632906865298512,135,7953061009877.225,2256009847223.647
2389141,1.326997955316558,136,7878529171904.185,4175005313978.301
2389092,2.4706389027659412,137,7972652842567.072,2444181500354.6577
2386075,0.34974955601039726,138,7952038380010.517,6726521120835.728
2390392,0.7147783024648378,139,9065985929938.64,6439670903448.959
2381813,0.7051281207503275,140,7798554925216.353,5565040786922.075
2377922,1.0249079629305626,141,7509982693154.845,4598686020192.996
2382986,0.3453795009657664,142,7471451927609.604,6333230164010.574
2396770,0.7421134097660153,143,7413795084764.661,5197663912435.838
2377701,1.2487815723427511,144,10713541125909.549,5893869652783.977
2377899,0.8057112039059359,145,7376396440730.208,5016426179369.672
2391964,1.223961680695031,146,7343079305217.798,4087935054770.203
2390556,0.6954853301991674,147,7393063862585.013,5300083622170.544
2384176,1.1350611804423534,148,7255463206473.978,4214703022462.366
2395727,2.088992735877767,149,8105301494875.024,2982749337400.9946
2396765,1.5050646099301348,150,7306332531299.527,3555526972408.3276
2384088,0.6625266270921829,151,7730239454911.383,5629903772164.917
2377658,1.2163411036936522,152,7366421546506.9795,4115912282582.8823
2393010,2.2744801351814234,153,7117494904423.3955,2396763399139.396
2388952,1.0817976959215017,154,7080385588944.652,4219183547809.342
2389149,0.3159605180378164,155,7079617257507.866,6086170996305.13
2390590,1.6680235010283435,156,6994573493302.401,3148460610858.5576
2386072,0.8465784393032186,157,7166768809708.053,4779474964297.479
2380271,1.1939346502663932,158,6963611145514.052,3932789992094.5317
2390598,0.7550235193712109,159,6871229568346.61,4787612416898.407
2379208,1.7201955963914897,160,6770999369186.119,2972671688242.4087
2392977,0.6510647348376318,161,6792202467938.428,4973942461015.894
2394522,2.5757748756053416,162,6686745633404.351,1949373871043.5747
2380367,1.8770252599614596,163,6841407348445.994,2786415872899.8545
2391949,1.401760699949839,164,6643187120282.951,3396647939300.095
2380385,0.45694459430407136,165,6695930394228.646,5380774346007.136
2379033,0.9707729756655559,166,6884625243350.629,4326392584695.1343
2382994,1.7291357905269666,167,6475194183143.617,2830668046985.0806
2394532,2.2477065274671046,168,6475230954119.455,2208602621864.389
2390615,1.449834444567261,169,6358685873809.184,3177242195738.0957
2389157,0.3257905874192839,170,6365272686233.662,5446385963485.327
2380259,0.7249857723028269,171,6312354019138.29,4461887093005.194
2377930,0.43444726955143137,172,6341658490902.992,5151245961931.996
